Source,Target
p1,t1
p1,t2
p1,t3
p1,t4
p1,t5
p1,t6
p1,t7
p1,t8
p1,t9
p1,t10
p1,t11
p1,t12
p1,t13
p1,t14
p1,u2
p2,t10
p2,t15
p2,t16
p2,t2
p2,t17
p2,t18
p2,t19
p2,u3
p3,t20
p3,t21
p3,t22
p3,t23
p3,t24
p3,t25
p3,t8
p3,t9
p3,t11
p3,t26
p3,t2
p3,t10
p3,t27
p3,t28
p3,t29
p3,t30
p3,t31
p3,t32
p3,t15
p3,t33
p3,u4
p4,t2
p4,t34
p4,t35
p4,t8
p4,t10
p4,t7
p4,t36
p4,t37
p4,t38
p4,t39
p4,t40
p4,t41
p4,t42
p4,u5
p5,t43
p5,t44
p5,t45
p5,t10
p5,t2
p5,t46
p5,t17
p5,t15
p5,t16
p5,t47
p5,t48
p5,t49
p5,t8
p5,t9
p5,t50
p5,t13
p5,t51
p5,u6
p6,t52
p6,t53
p6,t54
p6,t55
p6,t2
p6,t56
p6,t15
p6,t57
p6,t58
p6,t59
p6,t60
p6,t9
p6,t61
p6,t62
p6,t63
p6,t64
p6,t33
p6,t10
p6,u7
p7,t65
p7,t66
p7,t67
p7,t68
p7,t69
p7,t70
p7,t71
p7,t72
p7,t35
p7,t73
p7,t2
p7,t13
p7,t62
p7,t8
p7,t9
p7,t10
p7,t74
p7,t33
p7,t75
p7,t76
p7,u8
p8,t10
p8,t77
p8,t78
p8,t15
p8,u8
p9,t24
p9,t79
p9,t80
p9,t81
p9,t82
p9,t45
p9,t15
p9,t83
p9,t84
p9,t85
p9,t86
p9,t87
p9,t88
p9,t89
p9,t90
p9,t91
p9,t92
p9,t93
p9,t94
p9,t95
p9,u9
p10,t10
p10,t51
p10,t96
p10,t97
p10,u9
p11,t98
p11,t3
p11,t13
p11,t10
p11,t9
p11,t15
p11,t2
p11,t99
p11,t8
p11,t28
p11,t49
p11,t43
p11,t14
p11,t100
p11,t101
p11,t12
p11,u10
p12,t10
p12,t102
p12,t24
p12,t101
p12,t103
p12,t104
p12,t105
p12,t8
p12,t106
p12,t107
p12,t108
p12,t42
p12,u11
p13,t72
p13,t109
p13,t110
p13,t35
p13,t111
p13,t17
p13,t112
p13,t11
p13,t113
p13,t8
p13,t114
p13,t115
p13,t61
p13,t116
p13,t117
p13,t118
p13,t119
p13,t10
p13,t120
p13,t121
p13,u12
p14,t122
p14,t123
p14,t2
p14,t124
p14,t125
p14,t67
p14,t126
p14,t127
p14,t128
p14,t129
p14,t68
p14,t130
p14,t10
p14,t8
p14,t9
p14,u13
p15,t8
p15,t2
p15,t15
p15,t131
p15,t132
p15,t133
p15,t9
p15,t134
p15,t10
p15,t135
p15,t136
p15,t137
p15,t138
p15,t139
p15,u14
p16,t35
p16,t22
p16,t140
p16,t141
p16,t142
p16,t143
p16,t144
p16,t2
p16,t8
p16,t10
p16,t145
p16,t146
p16,t147
p16,t148
p16,t149
p16,t150
p16,t151
p16,t152
p16,t153
p16,u15
p17,t154
p17,t155
p17,t156
p17,t157
p17,t158
p17,t159
p17,t160
p17,t161
p17,t162
p17,t163
p17,t164
p17,t165
p17,t8
p17,t10
p17,t9
p17,u16
p18,t166
p18,t10
p18,t2
p18,t167
p18,t145
p18,t168
p18,u17
p19,t169
p19,t8
p19,t2
p19,t9
p19,t170
p19,t28
p19,t10
p19,u18
p20,t171
p20,t10
p20,t8
p20,t139
p20,t35
p20,t172
p20,t20
p20,t173
p20,t174
p20,t42
p20,t175
p20,t176
p20,t77
p20,t2
p20,t15
p20,t177
p20,t178
p20,u19
p21,t2
p21,t179
p21,t180
p21,t181
p21,t182
p21,t183
p21,t184
p21,t185
p21,u20
p22,t10
p22,t24
p22,t15
p22,u21
p23,t186
p23,t187
p23,t188
p23,t10
p23,t189
p23,u22
p24,t50
p24,t17
p24,t190
p24,t191
p24,t15
p24,t47
p24,t48
p24,t43
p24,t192
p24,t193
p24,t194
p24,u22
p25,t10
p25,t2
p25,t195
p25,t168
p25,t141
p25,t196
p25,t197
p25,t198
p25,u22
p26,t2
p26,t199
p26,t200
p26,t201
p26,t202
p26,t8
p26,t203
p26,t10
p26,u23
p27,t204
p27,t205
p27,t8
p27,t10
p27,t206
p27,t207
p27,t2
p27,t50
p27,t208
p27,t9
p27,t96
p27,t3
p27,t13
p27,t33
p27,t17
p27,u24
p28,t61
p28,t15
p28,t209
p28,t210
p28,t211
p28,t212
p28,t213
p28,t8
p28,t10
p28,t214
p28,t101
p28,t3
p28,u25
p29,t87
p29,t215
p29,t216
p29,t10
p29,t217
p29,t93
p29,t95
p29,t218
p29,t97
p29,u25
p30,t219
p30,t220
p30,t221
p30,t8
p30,t10
p30,t9
p30,t29
p30,u26
p31,t8
p31,t10
p31,t222
p31,t223
p31,t75
p31,t74
p31,t224
p31,t225
p31,t226
p31,t227
p31,t228
p31,t229
p31,t67
p31,t203
p31,t230
p31,t231
p31,t129
p31,t232
p31,t233
p31,t234
p31,u27
p32,t10
p32,t30
p32,t97
p32,t15
p32,t235
p32,t46
p32,t236
p32,t237
p32,t238
p32,t239
p32,t240
p32,t241
p32,t242
p32,t243
p32,t218
p32,u28
p33,t244
p33,t245
p33,t10
p33,t246
p33,u29
p34,t10
p34,t247
p34,t248
p34,t249
p34,t155
p34,t250
p34,t251
p34,t252
p34,t253
p34,t254
p34,t255
p34,t256
p34,t222
p34,t257
p34,t258
p34,t259
p34,t260
p34,t261
p34,t262
p34,t263
p34,u30
p35,t264
p35,t265
p35,t8
p35,t9
p35,t10
p35,t2
p35,t15
p35,t11
p35,t266
p35,t267
p35,t268
p35,t269
p35,t270
p35,t42
p35,u31
p36,t271
p36,t214
p36,t272
p36,t273
p36,t274
p36,t275
p36,t45
p36,t276
p36,t277
p36,t278
p36,t10
p36,t279
p36,t280
p36,u32
p37,t10
p37,t25
p37,t281
p37,t282
p37,t90
p37,t283
p37,t284
p37,t15
p37,t84
p37,t24
p37,t78
p37,t285
p37,t215
p37,t87
p37,t97
p37,t89
p37,t286
p37,t287
p37,t288
p37,t289
p37,u32
p38,t10
p38,t25
p38,t23
p38,t224
p38,t225
p38,t290
p38,t15
p38,t291
p38,u33
p39,t118
p39,t10
p39,t292
p39,t114
p39,t293
p39,t294
p39,t295
p39,t296
p39,t160
p39,t115
p39,t110
p39,u33
p40,t295
p40,t110
p40,t10
p40,t297
p40,t298
p40,t268
p40,t264
p40,t42
p40,u34
p41,t299
p41,t1
p41,t2
p41,t300
p41,t301
p41,t302
p41,t10
p41,u35
p42,t2
p42,t303
p42,t304
p42,t10
p42,t305
p42,t306
p42,t8
p42,t307
p42,t308
p42,t309
p42,t310
p42,t311
p42,t312
p42,t313
p42,t314
p42,t315
p42,u36
p43,t316
p43,t25
p43,t10
p43,t57
p43,t15
p43,t317
p43,t318
p43,t319
p43,t320
p43,t97
p43,t16
p43,t32
p43,t321
p43,t23
p43,t322
p43,t323
p43,t324
p43,u37
p44,t325
p44,t326
p44,t327
p44,t2
p44,t328
p44,t329
p44,t330
p44,t168
p44,t15
p44,t42
p44,t8
p44,t9
p44,t10
p44,t29
p44,t173
p44,u38
p45,t104
p45,t2
p45,t167
p45,t10
p45,t331
p45,t332
p45,t15
p45,t333
p45,t334
p45,t84
p45,t335
p45,u39
p46,t10
p46,t305
p46,t15
p46,t336
p46,u40
p47,t337
p47,t338
p47,t203
p47,t339
p47,t340
p47,t341
p47,t301
p47,t10
p47,t8
p47,u41
p48,t342
p48,t75
p48,t83
p48,t343
p48,t344
p48,t345
p48,t10
p48,t346
p48,u41
p49,t347
p49,t264
p49,t8
p49,t10
p49,t348
p49,u42
p50,t15
p50,t349
p50,t350
p50,t2
p50,t87
p50,t8
p50,t10
p50,t351
p50,t352
p50,t353
p50,t354
p50,u43
p51,t355
p51,t356
p51,t357
p51,t358
p51,t359
p51,t10
p51,t360
p51,t361
p51,t362
p51,t363
p51,t364
p51,t365
p51,t366
p51,t367
p51,t368
p51,t369
p51,t370
p51,u44
p52,t10
p52,t371
p52,t372
p52,t373
p52,t295
p52,u45
p53,t10
p53,t2
p53,t374
p53,u46
p54,t10
p54,t248
p54,t23
p54,t253
p54,t375
p54,t376
p54,t257
p54,t377
p54,t252
p54,t263
p54,t378
p54,t249
p54,u47
p55,t46
p55,t379
p55,t380
p55,t381
p55,t2
p55,t382
p55,t57
p55,t33
p55,t15
p55,t9
p55,t10
p55,t8
p55,t168
p55,t383
p55,u48
p56,t305
p56,t384
p56,u49
p57,t10
p57,t111
p57,t385
p57,t84
p57,t386
p57,t24
p57,t387
p57,t15
p57,u50
p58,t388
p58,t389
p58,t390
p58,t212
p58,t246
p58,t391
p58,t392
p58,t272
p58,t10
p58,t393
p58,t15
p58,t214
p58,u51
p59,t394
p59,t395
p59,t396
p59,t397
p59,t186
p59,t398
p59,t399
p59,t400
p59,t401
p59,t402
p59,t8
p59,t9
p59,t10
p59,t403
p59,t404
p59,t405
p59,t406
p59,u52
p60,t2
p60,t407
p60,t111
p60,t408
p60,t10
p60,t409
p60,t35
p60,u53
p61,t410
p61,t411
p61,t412
p61,t413
p61,t15
p61,t10
p61,u53
p62,t414
p62,t415
p62,t35
p62,t416
p62,t10
p62,t417
p62,u54
p63,t418
p63,t419
p63,t420
p63,t421
p63,t422
p63,t10
p63,t423
p63,t424
p63,t425
p63,u55
p64,t426
p64,t427
p64,t428
p64,t1
p64,t429
p64,t430
p64,t16
p64,t2
p64,t431
p64,t305
p64,t10
p64,t432
p64,t433
p64,t42
p64,u56
p65,t434
p65,t435
p65,t436
p65,u57
p66,t10
p66,t224
p66,t74
p66,t75
p66,t97
p66,t225
p66,t15
p66,t215
p66,t87
p66,t42
p66,u58
p67,t2
p67,t437
p67,t438
p67,t439
p67,t440
p67,t305
p67,u59
p68,t441
p68,t442
p68,t443
p68,t444
p68,t445
p68,t446
p68,t447
p68,t448
p68,t449
p68,t450
p68,t451
p68,t452
p68,t453
p68,t454
p68,t455
p68,t456
p68,t457
p68,t458
p68,t459
p68,t460
p68,u60
p69,t461
p69,t462
p69,t10
p69,t235
p69,t97
p69,t410
p69,t236
p69,t241
p69,t463
p69,t464
p69,t465
p69,t466
p69,t93
p69,t95
p69,u61
p70,t467
p70,t468
p70,t469
p70,t470
p70,t119
p70,t471
p70,t10
p70,t62
p70,t472
p70,t2
p70,t33
p70,t248
p70,t473
p70,u62
p71,t60
p71,t8
p71,t9
p71,t474
p71,t475
p71,t476
p71,t477
p71,t478
p71,t479
p71,t480
p71,t481
p71,t10
p71,t482
p71,t28
p71,t483
p71,u63
p72,t484
p72,t485
p72,t486
p72,t487
p72,t340
p72,t488
p72,t14
p72,t489
p72,t490
p72,t10
p72,t491
p72,t492
p72,t493
p72,t494
p72,t495
p72,u64
p73,t441
p73,t496
p73,t497
p73,t10
p73,t87
p73,t498
p73,t97
p73,t499
p73,t42
p73,u64
p74,t10
p74,t439
p74,t440
p74,t438
p74,t87
p74,t238
p74,t500
p74,u65
p75,t61
p75,t501
p75,t10
p75,t502
p75,t503
p75,t111
p75,t504
p75,t505
p75,t506
p75,t507
p75,t295
p75,t508
p75,t509
p75,t510
p75,t511
p75,t512
p75,t513
p75,t72
p75,t69
p75,t42
p75,u66
p76,t514
p76,t80
p76,t81
p76,t10
p76,t515
p76,u67
p77,t295
p77,t10
p77,t110
p77,t264
p77,u67
p78,t516
p78,t272
p78,t517
p78,t10
p78,t518
p78,t45
p78,t241
p78,u68
p79,t519
p79,t520
p79,t101
p79,t2
p79,t521
p79,t1
p79,t14
p79,t15
p79,t522
p79,t523
p79,t524
p79,t525
p79,t10
p79,t467
p79,t338
p79,t33
p79,t526
p79,t62
p79,t357
p79,u69
p80,t10
p80,t127
p80,t527
p80,t17
p80,t528
p80,t529
p80,u69
p81,t498
p81,t530
p81,t3
p81,t13
p81,t15
p81,t10
p81,t531
p81,u70
p82,t24
p82,t532
p82,t8
p82,t9
p82,t10
p82,t533
p82,u71
p83,t534
p83,t535
p83,t2
p83,t536
p83,t15
p83,t537
p83,t538
p83,t539
p83,t10
p83,u72
p84,t10
p84,t540
p84,t15
p84,t31
p84,t541
p84,t542
p84,t87
p84,t105
p84,t55
p84,u73
p85,t543
p85,t355
p85,t10
p85,u74
p86,t544
p86,t545
p86,t546
p86,t547
p86,t8
p86,t548
p86,t10
p86,t256
p86,t397
p86,t13
p86,t44
p86,t538
p86,t537
p86,t549
p86,t550
p86,t551
p86,t552
p86,t553
p86,t554
p86,t203
p86,u75
p87,t536
p87,t2
p87,t15
p87,t10
p87,t111
p87,u75
p88,t555
p88,u76
p89,t10
p89,t268
p89,t264
p89,t556
p89,t557
p89,t110
p89,t8
p89,t9
p89,t2
p89,t15
p89,u77
p90,t524
p90,t558
p90,t559
p90,t560
p90,t22
p90,t99
p90,t561
p90,t562
p90,t10
p90,u78
p91,t563
p91,t252
p91,t564
p91,t44
p91,t8
p91,t9
p91,t10
p91,t565
p91,t566
p91,t567
p91,t568
p91,t203
p91,t569
p91,t570
p91,t11
p91,t571
p91,u79
p92,t572
p92,t264
p92,t295
p92,t10
p92,t573
p92,t268
p92,t574
p92,u80
p93,t575
p93,t576
p93,t577
p93,t578
p93,t579
p93,t580
p93,t371
p93,t97
p93,t581
p93,t582
p93,t85
p93,u81
p94,t583
p94,t2
p94,t15
p94,t10
p94,t306
p94,t584
p94,t307
p94,t62
p94,t9
p94,t8
p94,t585
p94,t586
p94,t587
p94,t588
p94,t589
p94,t590
p94,u82
p95,t591
p95,t592
p95,t593
p95,t594
p95,t9
p95,t8
p95,t10
p95,t595
p95,t596
p95,t168
p95,t597
p95,u83
p96,t598
p96,t10
p96,t470
p96,t599
p96,t600
p96,t601
p96,t602
p96,t46
p96,u84
p97,t603
p97,t15
p97,t604
p97,t2
p97,t605
p97,t16
p97,t606
p97,t170
p97,t203
p97,t607
p97,t608
p97,t609
p97,t610
p97,t307
p97,t10
p97,t28
p97,t611
p97,t42
p97,t612
p97,t613
p97,u85
p98,t614
p98,t10
p98,t615
p98,t616
p98,u86
p99,t10
p99,t305
p99,t617
p99,t2
p99,t618
p99,u87
p100,t8
p100,t50
p100,t181
p100,t46
p100,t10
p100,t9
p100,t480
p100,t619
p100,t620
p100,t621
p100,t622
p100,t479
p100,t623
p100,t624
p100,t625
p100,t11
p100,t626
p100,t627
p100,t17
p100,t628
p100,u87
p101,t10
p101,t629
p101,t97
p101,t630
p101,t263
p101,t631
p101,t378
p101,t255
p101,t87
p101,t215
p101,t285
p101,t286
p101,t289
p101,t632
p101,t42
p101,u88
p102,t633
p102,t634
p102,t277
p102,t73
p102,t635
p102,t636
p102,t10
p102,t637
p102,t8
p102,t9
p102,t99
p102,t638
p102,t639
p102,t246
p102,t111
p102,t279
p102,t640
p102,t641
p102,t642
p102,t643
p102,u89
p103,t10
p103,t295
p103,t644
p103,t78
p103,t79
p103,t645
p103,t646
p103,t51
p103,u90
p104,t305
